sample,diet,sex
SRR6829578,Chow,male
SRR6829579,Chow,female
SRR6829580,Chow,male
SRR6829581,Chow,female
SRR6829582,Chow,male
SRR6829583,Chow,female
SRR6829584,ChowCR,male
SRR6829585,ChowCR,female
SRR6829586,ChowCR,male
SRR6829587,ChowCR,female
SRR6829588,ChowCR,male
SRR6829589,ChowCR,female
SRR6829590,P5,male
SRR6829591,P5,female
SRR6829592,P5,male
SRR6829593,P5,female
SRR6829594,P5,male
SRR6829595,P5,female
SRR6829596,P10,male
SRR6829597,P10,female
SRR6829598,P10,male
SRR6829599,P10,female
SRR6829600,P10,male
SRR6829601,P10,female
SRR6829602,P15,male
SRR6829603,P15,female
SRR6829604,P15,male
SRR6829605,P15,female
SRR6829606,P15,male
SRR6829607,P15,female
